type,name_of_the_university,address,zip,state,status,url
Deemed to be Universities,Santosh,"Santosh Nagar, Ghaziabad",201009,Uttar Pradesh,Section-III,https://santosh.ac.in
Deemed to be Universities,Sathyabama Institute of Science and Technology,"Jeppiaar Nagar, Rajiv Gandhi Salai, Chennai, Off-Campus centre : Vadamangalam, Sriperumbudur",600119,Tamil Nadu,Section-III & 12(B),https://www.sathyabama.ac.in
Deemed to be Universities,Satyajit Ray Film and Television Institute (SRFTI),"E.M. Bypass Road, Panchasayar, Kolkata",700094,West Bengal,Section-III,https://srfti.ac.in
Deemed to be Universities,Saveetha Institute of Medical and Technical Sciences,"Saveetha Nagar, Thandalam, Kanchipuram - Chennai Rd, Chennai",602105,Tamil Nadu,Section-III & 12(B),http://www.saveetha.com
Deemed to be Universities,Shanmugha Arts Science Technology & Research Academy (SASTRA),"Tirumalaisamudram, Thanjavur",613401,Tamil Nadu,Section-III & 12(B),http://www.sastra.edu
Deemed to be Universities,Shobhit Institute of Engineering & Technology,"Dulhera Marg Roorkee Road, NH-58, Modipuram, Meerut",250110,Uttar Pradesh,Section-III & 12(B),http://www.shobhituniversity.ac.in
Deemed to be Universities,Siddhartha Academy of Higher Education,"Vasantha Nagar, Kanuru, Vijayawada, Krishna District",520007,Andhra Pradesh,Section-III & 12(B),https://www.vrsiddhartha.ac.in
Deemed to be Universities,Siksha 'O' Anusandhan,"Khandagiri Marg, Dharam Vihar, Jagamara, Bhubaneswar",751030,Odisha,Section-III & 12(B),https://www.soa.ac.in
Deemed to be Universities,"Sir J.J.School of  Art, Architecture & Design, Mumbai","78, Dr. D. N. Road, Fort Mumbai",400001,Maharashtra,Section-III,https://www.sirjjschoolofart.in
Deemed to be Universities,Sri Balaji Vidyapeeth,"SBV Campus, Pillaiyarkuppam, Pondicherry",607402,Puducherry,Section-III & 12(B),http://www.sbvu.ac.in
Deemed to be Universities,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,"Sri Jayendra Saraswathi Street, Enathur, Kanchipuram",631561,Tamil Nadu,Section-III & 12(B),https://kanchiuniv.ac.in
Deemed to be Universities,Sri Devraj Urs Academy of Higher Education and Research,"Post Box No.62, Tamaka, Kolar",563101,Karnataka,Section-III,http://www.sduu.ac.in
Deemed to be Universities,Sri Ramachandra Institute of Higher Education and Research,"No.1 Ramachandra Nagar, Porur, Chennai",600116,Tamil Nadu,Section-III & 12(B),https://www.sriramachandra.edu.in
Deemed to be Universities,Sri Sathya Sai Institute of Higher Learning,"Prasanthi Nilayam, Anantapuramu",515134,Andhra Pradesh,Section-III & 12(B),http://www.sssihl.edu.in
Deemed to be Universities,Sri Siddhartha Academy of Higher Education,"Agalakote, B.H. Road, Tumkur",572107,Karnataka,Section-III & 12(B),http://www.sahetumkur.ac.in
Deemed to be Universities,St. Aloysius,"St Aloysius College Road, Kodialbail, PB 720, Mangalore",575003,Karnataka,Section-III,https://www.staloysius.edu.in
